virtual,aci_object
private,aci_object
cloud,aci_object
that,O
are,O
and,O
that,O
are,O
that,health
have,health
health,health
score,health
100,health
.,O
give,O
me,O
the,O
contract,aci_object
modified,modf
on,modf
22,modf
jul,modf
at,modf
17,modf
:55,modf
:51,modf
and,O
which,O
are,O
operating,oper
and,O
which,O
are,O
possessing,health
fine,health
health,health
.,O
please,O
tell,O
hcloudsubnet,aci_object
that,health
has,health
fine,health
health,health
and,O
.,O
pls,O
give,O
me,O
all,O
external,aci_object
endpoint,aci_object
group,aci_object
deleted,modf
at,modf
june,modf
17,modf
year,modf
at,modf
2,modf
:55,modf
:12,modf
pm,modf
and,O
that,O
was,O
running,oper
and,O
of,health
score,health
hundred,health
.,O
all,O
the,O
provider,aci_object
contracts,aci_object
deleted,modf
after,modf
aug,modf
24,modf
on,modf
18,modf
:13,modf
:58,modf
and,O
which,health
has,health
score,health
hundred,health
.,O
please,O
locate,O
all,O
the,O
zone,aci_object
that,O
is,O
that,health
has,health
fine,health
health,health
in,oper
use,oper
modified,modf
after,modf
26,modf
may,modf
at,modf
18,modf
:04,modf
:48,modf
.,O
plz,O
tell,O
me,O
the,O
tenent,aci_object
that,modf
were,modf
changed,modf
on,modf
march,modf
1,modf
year,modf
on,modf
12,modf
:09,modf
:38,modf
in,modf
the,modf
morning,modf
and,O
which,health
have,health
health,health
score,health
hundred,health
which,O
are,O
operating,oper
.,O
search,O
all,O
virtual,aci_object
routing,aci_object
and,aci_object
forwarding,aci_object
and,O
of,health
fine,health
health,health
and,O
that,O
were,O
.,O
plz,O
retrieve,O
the,O
context,aci_object
profiles,aci_object
having,health
health,health
score,health
100,health
that,O
was,O
in,oper
use,oper
.,O
give,O
me,O
subnet,aci_object
that,O
were,O
which,health
have,health
score,health
hundred,health
operating,oper
.,O
all,O
the,O
external,aci_object
epg,aci_object
that,O
were,O
having,health
score,health
zero,health
.,O
plz,O
retrieve,O
all,O
hcloudendpoints,aci_object
which,O
was,O
having,health
score,health
zero,health
.,O
search,O
ep,aci_object
that,modf
are,modf
added,modf
at,modf
12,modf
december,modf
year,modf
on,modf
19,modf
:22,modf
and,O
and,O
that,O
are,O
.,O
plz,O
tell,O
all,O
objects,aci_object
and,O
that,health
have,health
poor,health
health,health
and,O
.,O
plz,O
tell,O
vpc,aci_object
that,O
are,O
running,oper
which,health
has,health
health,health
score,health
zero,health
.,O
plz,O
tell,O
me,O
the,O
cloudregion,aci_object
modified,modf
on,modf
6,modf
july,modf
year,modf
at,modf
03,modf
:29,modf
:20,modf
.,O
tell,O
hcloudendpoint,aci_object
that,O
was,O
running,oper
and,O
that,health
has,health
health,health
score,health
hundred,health
and,O
.,O
please,O
tell,O
all,O
the,O
hcloudipv4addrs,aci_object
with,health
score,health
0,health
that,O
are,O
.,O
endpoint,aci_object
groups,aci_object
of,health
health,health
score,health
100,health
and,O
running,oper
and,O
deleted,modf
before,modf
20,modf
:16,modf
on,modf
18,modf
march,modf
year,modf
.,O
please,O
give,O
all,O
hcloudctx,aci_object
and,O
.,O
plz,O
search,O
hcloudsubnets,aci_object
and,O
running,oper
and,O
that,modf
was,modf
deleted,modf
on,modf
02,modf
:47,modf
:34,modf
on,modf
27,modf
september,modf
.,O
please,O
search,O
all,O
the,O
cloudregion,aci_object
and,O
that,O
was,O
that,health
have,health
health,health
score,health
zero,health
.,O
pls,O
give,O
all,O
the,O
vrf,aci_object
removed,modf
after,modf
2,modf
:02,modf
in,modf
the,modf
morning,modf
on,modf
dec,modf
17,modf
year,modf
and,O
which,O
is,O
operating,oper
.,O
please,O
give,O
me,O
all,O
the,O
possessing,health
health,health
score,health
zero,health
app,aci_object
deleted,modf
after,modf
5,modf
august,modf
on,modf
4,modf
:55,modf
:54,modf
pm,modf
operating,oper
.,O
pls,O
retrieve,O
cprs,aci_object
and,O
that,O
was,O
which,health
has,health
score,health
100,health
.,O
plz,O
find,O
the,O
