cidrs,aci_object
operating,oper
and,O
which,O
is,O
created,modf
at,modf
18,modf
august,modf
year,modf
at,modf
21,modf
:21,modf
:44,modf
and,O
that,health
have,health
issue,health
.,O
all,O
the,O
subnetwork,aci_object
that,O
were,O
running,oper
and,O
that,O
is,O
with,health
score,health
0,health
.,O
plz,O
give,O
me,O
all,O
the,O
eps,aci_object
that,O
was,O
and,O
which,O
were,O
.,O
provide,O
me,O
cprs,aci_object
that,O
is,O
of,health
health,health
score,health
zero,health
and,O
added,modf
at,modf
22,modf
february,modf
year,modf
on,modf
7,modf
:55,modf
:23,modf
in,modf
the,modf
morning,modf
which,O
were,O
.,O
all,O
cloudregions,aci_object
changed,modf
since,modf
1,modf
:57,modf
:56,modf
am,modf
on,modf
june,modf
25,modf
and,O
having,health
bad,health
health,health
that,O
were,O
in,oper
use,oper
.,O
pls,O
search,O
all,O
epg,aci_object
which,O
are,O
and,O
that,O
were,O
.,O
all,O
zones,aci_object
which,O
was,O
which,health
has,health
fine,health
health,health
and,O
in,oper
use,oper
which,O
were,O
.,O
all,O
the,O
eps,aci_object
which,O
is,O
deleted,modf
since,modf
5,modf
:15,modf
:13,modf
pm,modf
at,modf
june,modf
17,modf
year,modf
and,O
that,O
was,O
and,O
having,health
health,health
score,health
0,health
.,O
aci,aci_object
objects,aci_object
which,O
was,O
possessing,health
health,health
score,health
zero,health
and,O
removed,modf
after,modf
4,modf
:39,modf
am,modf
on,modf
4,modf
december,modf
.,O
I,O
am,O
looking,O
for,O
account,aci_object
that,O
are,O
having,health
health,health
score,health
zero,health
and,O
and,O
.,O
plz,O
let,O
me,O
know,O
all,O
app,aci_object
that,O
was,O
of,health
score,health
0,health
and,O
that,O
was,O
.,O
let,O
me,O
know,O
the,O
internet,aci_object
protocol,aci_object
which,O
are,O
having,health
poor,health
health,health
and,O
which,O
is,O
.,O
pls,O
give,O
me,O
all,O
hcloudinstances,aci_object
which,O
are,O
sick,health
and,O
that,O
are,O
in,oper
use,oper
that,O
was,O
.,O
external,aci_object
endpoint,aci_object
groups,aci_object
and,O
and,O
that,O
is,O
running,oper
.,O
please,O
tell,O
me,O
all,O
hcloudcidrs,aci_object
which,O
were,O
that,health
has,health
score,health
zero,health
and,O
.,O
tell,O
me,O
all,O
the,O
security,aci_object
group,aci_object
of,health
good,health
health,health
which,O
was,O
.,O
tell,O
all,O
the,O
hcloudregion,aci_object
that,O
is,O
that,health
have,health
issue,health
that,O
are,O
.,O
plz,O
let,O
me,O
know,O
the,O
hcloudcidrs,aci_object
which,O
are,O
modified,modf
on,modf
august,modf
2,modf
6,modf
:58,modf
in,modf
the,modf
morning,modf
at,modf
which,O
are,O
heathy,health
running,oper
.,O
give,O
hcloudaccounts,aci_object
that,O
are,O
modified,modf
at,modf
8,modf
aug,modf
year,modf
at,modf
3,modf
:14,modf
:16,modf
am,modf
which,health
has,health
good,health
health,health
.,O
the,O
ipv4s,aci_object
that,O
were,O
with,health
health,health
score,health
zero,health
and,O
.,O
please,O
tell,O
me,O
the,O
ip,aci_object
which,O
is,O
and,O
which,O
is,O
which,health
have,health
fine,health
health,health
and,O
that,O
was,O
.,O
all,O
cidr,aci_object
operating,oper
and,O
that,O
is,O
changed,modf
on,modf
sept,modf
22,modf
9,modf
:56,modf
:56,modf
in,modf
the,modf
morning,modf
at,modf
.,O
consumer,aci_object
contracts,aci_object
which,O
is,O
operating,oper
that,health
has,health
score,health
0,health
.,O
all,O
the,O
hcloudcidrs,aci_object
modified,modf
before,modf
3,modf
:06,modf
in,modf
the,modf
morning,modf
on,modf
aug,modf
7,modf
which,O
was,O
which,health
have,health
score,health
0,health
and,O
which,O
were,O
.,O
plz,O
retrieve,O
the,O
eps,aci_object
that,O
were,O
having,health
health,health
score,health
zero,health
which,O
were,O
and,O
that,O
are,O
added,modf
after,modf
3,modf
:53,modf
:27,modf
pm,modf
on,modf
10,modf
march,modf
year,modf
.,O
pls,O
search,O
the,O
virtual,aci_object
private,aci_object
cloud,aci_object
which,health
have,health
problem,health
and,O
which,O
are,O
running,oper
and,O
which,O
was,O
.,O
pls,O
tell,O
me,O
cloudapps,aci_object
which,O
is,O
which,health
have,health
score,health
hundred,health
.,O
all,O
the,O
apps,aci_object
and,O
that,O
is,O
that,health
has,health
issue,health
.,O
pls,O
locate,O
the,O
endpoint,aci_object
that,O
is,O
operating,oper
which,O
were,O
removed,modf
on,modf
18,modf
october,modf
year,modf
at,modf
18,modf
:18,modf
and,O
which,O
is,O
having,health
issue,health
.,O
the,O
internet,aci_object
protocols,aci_object
and,O
which,O
are,O
and,O
that,O
was,O
.,O
all,O
account,aci_object
and,O
that,O
was,O
and,O
which,health
have,health
issue,health
.,O
plz,O
tell,O
the,O
external,aci_object
endpoint,aci_object
groups,aci_object
that,O
are,O
possessing,health
score,health
0,health
which,O
are,O
operating,oper
and,O
that,O
are,O
removed,modf
before,modf
11,modf
:09,modf
at,modf
23,modf
april,modf
.,O
plz,O
find,O
all,O
vrfs,aci_object
that,O
is,O
changed,modf
at,modf
november,modf
27,modf
at,modf
8,modf
:51,modf
:54,modf
in,modf
the,modf
morning,modf
and,O
which,O
was,O
that,health
has,health
score,health
100,health
which,O
is,O
.,O
pls,O
give,O
me,O
all,O
the,O
apps,aci_object
that,O
are,O
and,O
that,O
was,O
running,oper
possessing,health
good,health
health,health
.,O
pls,O
provide,O
all,O
the,O
cloudregion,aci_object
which,O
was,O
which,O
is,O
created,modf
after,modf
october,modf
21,modf
at,modf
08,modf
:53,modf
which,O
is,O
.,O
let,O
me,O
know,O
all,O
ext,aci_object
epg,aci_object
that,O
was,O
and,O
which,O
is,O
operating,oper
.,O
plz,O
provide,O
cprs,aci_object
which,O
is,O
that,O
was,O
.,O
pls,O
give,O
the,O
tenent,aci_object
modified,modf
on,modf
9,modf
december,modf
year,modf
